,permit,permit_recheck,handgun,long_gun,other,multiple,admin,prepawn_handgun,prepawn_long_gun,prepawn_other,redemption_handgun,redemption_long_gun,redemption_other,returned_handgun,returned_long_gun,returned_other,rentals_handgun,rentals_long_gun,private_sale_handgun,private_sale_long_gun,private_sale_other,return_to_seller_handgun,return_to_seller_long_gun,return_to_seller_other,totals
61,664252.0,0.0,770872.0,703223.0,22709.0,31163,375.0,255.0,383.0,7.0,45148.0,60089.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2298561
62,693076.0,0.0,881038.0,788328.0,26137.0,31029,267.0,228.0,317.0,3.0,28451.0,34288.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2483230
63,538374.0,0.0,876673.0,1224465.0,31717.0,38438,228.0,211.0,318.0,5.0,29216.0,36388.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2776105
64,472526.0,0.0,533201.0,863265.0,19386.0,25126,207.0,217.0,357.0,4.0,31098.0,52270.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1997703
65,485749.0,0.0,410260.0,597561.0,13338.0,18390,228.0,257.0,368.0,1.0,30209.0,48323.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1604743
66,443478.0,0.0,389994.0,521050.0,11666.0,16859,188.0,243.0,334.0,4.0,27840.0,39028.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1450737
67,471772.0,0.0,426573.0,510406.0,12662.0,17560,410.0,270.0,353.0,1.0,32349.0,42293.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1514696
68,436230.0,0.0,377343.0,393993.0,9924.0,14094,585.0,222.0,257.0,1.0,25786.0,31098.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1289585
69,443773.0,0.0,370436.0,389413.0,9232.0,13853,361.0,235.0,297.0,3.0,28811.0,33731.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1290210
70,464980.0,0.0,376246.0,384767.0,9670.0,13467,508.0,211.0,262.0,4.0,25355.0,29866.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1305392
